name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
IT0 0 load,IT0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00927070781,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
IT4 0 load,IT4 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01018337421,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
LT0 0 load,LT0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.0102217407,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
LU0 0 load,LU0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00943652174,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
LV0 0 load,LV0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00914930254,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
ME0 0 load,ME0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01040356944,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
MK0 0 load,MK0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01026687257,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
NL0 0 load,NL0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00996450029,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
NO1 0 load,NO1 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01079084516,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
PL0 0 load,PL0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01095453875,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
PT0 0 load,PT0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01046478827,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
RO0 0 load,RO0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01092454672,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
RS0 0 load,RS0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00929428922,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
SE1 0 load,SE1 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00931909142,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
SI0 0 load,SI0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01099813388,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
SK0 0 load,SK0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00975307667,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
XK0 0 load,XK0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.0101189202,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
EU load,EU,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01088946442,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
co2 atmosphere load,co2 atmosphere,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01020794947,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
co2 stored load,co2 stored,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01074008328,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
co2 sequestered load,co2 sequestered,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01041459283,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
